g1entrynr,g2entrynr,g1chr,g2chr,g1concatstart,g1concatstop,g1start,g1stop,g2concatstart,g2concatstop,g2start,g2stop,Distance
1929657,1943788,A01,D01,36427,36860,36427,36860,1160108146,1160108580,2089,2523,3.839999914
1929662,1997962,A01,D01,20695743,20696691,20695743,20696691,1175390185,1175391134,15284128,15285077,1.49000001
1929681,1938656,A01,D01,99374278,99375670,99374278,99375670,1221026826,1221028218,60920769,60922161,1.899999976
1929731,1969185,A01,D01,20630204,20631186,20630204,20631186,1175361599,1175362584,15255542,15256527,2.420000076
1929740,1979932,A01,D01,1629120,1633491,1629120,1633491,1161871947,1161876308,1765890,1770251,0.5
1929789,1980980,A01,D01,99840092,99842217,99840092,99842217,1221494852,1221497196,61388795,61391139,2.819999933
1929972,1974912,A01,D01,12333286,12344784,12333286,12344784,1170047472,1170054064,9941415,9948007,2.119999886
1929973,1933676,A01,D01,19235971,19237155,19235971,19237155,1174321841,1174323038,14215784,14216981,2.950000048
1930053,1981786,A01,D01,97157227,97160023,97157227,97160023,1219132096,1219134433,59026039,59028376,2.25999999
1930086,1972465,A01,D01,11965092,11966678,11965092,11966678,1169714552,1169716075,9608495,9610018,0.819999993
1930142,1933923,A01,D01,98787519,98789425,98787519,98789425,1220540565,1220542493,60434508,60436436,NA
1930142,1990765,A01,D01,98787519,98789425,98787519,98789425,1220545987,1220546824,60439930,60440767,0.709999979
1930156,1983366,A01,D01,98405467,98411073,98405467,98411073,1220067500,1220075611,59961443,59969554,2.319999933
1930191,1937657,A01,D01,99523494,99531306,99523494,99531306,1221186692,1221194459,61080635,61088402,1.899999976
1930417,1972851,A01,D01,95825517,95828215,95825517,95828215,1218041639,1218044319,57935582,57938262,2.75999999
1930433,1968855,A01,D01,96185186,96185816,96185186,96185816,1218340255,1218340885,58234198,58234828,4.28000021
1930503,1958115,A01,D01,12034532,12041403,12034532,12041403,1169754471,1169761299,9648414,9655242,3.079999924
1930798,1979680,A01,D01,99854357,99857181,99854357,99857181,1221508847,1221511674,61402790,61405617,3.589999914
1930924,1956462,A01,D01,1242781,1243129,1242781,1243129,1161572473,1161572821,1466416,1466764,5.21999979
1931006,1943751,A01,D01,1485299,1487798,1485299,1487798,1161780728,1161783150,1674671,1677093,3.150000095
1931052,1972971,A01,D01,25830735,25833534,25830735,25833534,1178648536,1178651337,18542479,18545280,2.220000029
1931053,1985720,A01,D01,21353812,21356870,21353812,21356870,1175960180,1175963248,15854123,15857191,1.070000052
1931060,1968752,A01,D01,24118938,24122147,24118938,24122147,1177589285,1177592511,17483228,17486454,4.78000021
1931143,1953653,A01,D01,34235645,34237581,34235645,34237581,1183299437,1183301377,23193380,23195320,3.670000076
1931158,1954279,A01,D01,88138118,88140848,88138118,88140848,1212183954,1212186922,52077897,52080865,0.529999971
1931169,1937184,A01,D01,7177364,7179060,7177364,7179060,1206720697,1206722393,46614640,46616336,0.349999994
1931244,1986142,A01,D01,89104033,89105296,89104033,89105296,1212889460,1212890721,52783403,52784664,1.169999957
1931328,1967684,A01,D01,2326088,2329610,2326088,2329610,1162190258,1162193750,2084201,2087693,1.779999971
1931329,1991576,A01,D01,97624689,97627025,97624689,97627025,1219426207,1219428908,59320150,59322851,6.5
1931347,1990407,A01,D01,49854357,49855051,49854357,49855051,1191277201,1191278557,31171144,31172500,NA
1931425,1972381,A01,D01,93679172,93682015,93679172,93682015,1216471966,1216474833,56365909,56368776,2.029999971
1931464,1940546,A01,D01,1861233,1865473,1861233,1865473,1162139052,1162143278,2032995,2037221,1.399999976
1931607,1984899,A01,D01,4613491,4621111,4613491,4621111,1164330530,1164338082,4224473,4232025,1.779999971
1931611,1971514,A01,D01,9100895,9102924,9100895,9102924,1167251883,1167253924,7145826,7147867,1.370000005
1931625,1955328,A01,D01,18970612,18973547,18970612,18973547,1174145448,1174148385,14039391,14042328,1.309999943
1931668,1930775,A01,D01,46057685,46060823,46057685,46060823,1188423352,1188426556,28317295,28320499,2.220000029
1931716,1965237,A01,D01,94137589,94139563,94137589,94139563,1216225032,1216227006,56118975,56120949,1.519999981
1931806,1951483,A01,D01,97865155,97867966,97865155,97867966,1219608668,1219611154,59502611,59505097,1.25
1931870,1978623,A01,D01,97861288,97863952,97861288,97863952,1219604012,1219606664,59497955,59500607,2.700000048
